paymentMethodID,buyerAccountID,paymentMethodType,paymentMethodKey,paymentMethodDescription,createdBy,createdDate,modifiedBy,modifiedDate
6,6,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-04 16:20:56",NULL,"2021-06-04 16:20:56"
9,9,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-07 09:07:02",NULL,"2021-06-07 09:07:02"
10,10,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-07 09:55:40",NULL,"2021-06-07 09:55:40"
11,11,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-07 09:58:12",NULL,"2021-06-07 09:58:12"
13,13,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 13:54:13",NULL,"2021-06-08 13:54:13"
14,14,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 14:14:51",NULL,"2021-06-08 14:14:51"
15,15,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 14:17:26",NULL,"2021-06-08 14:17:26"
16,16,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 14:29:52",NULL,"2021-06-08 14:29:52"
17,17,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 14:31:19",NULL,"2021-06-08 14:31:19"
18,18,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 14:31:46",NULL,"2021-06-08 14:31:46"
19,19,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 14:38:25",NULL,"2021-06-08 14:38:25"
20,20,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 14:39:33",NULL,"2021-06-08 14:39:33"
21,21,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 14:43:27",NULL,"2021-06-08 14:43:27"
22,22,CC,AbcDef123Ghi456jkl5265,********5578,NULL,"2021-06-08 15:16:17",NULL,"2021-06-08 15:16:17"
